gene1	gene2	llmsa	count
CYP3A4	SUPV3L1	35.39878351333951	182949
CYP1A1	WWP1	35.34585554962396	237144
OCLN	SPON1	35.28344149299795	135845
HBB	NEDD4	35.26701985749406	78096
ADAP1	KIF3B	35.24043654139632	126810
ECHDC3	TFRC	35.208421668796404	79290
SPTB	TCEB2	35.13336701736455	82176
IDUA	SCML2	35.12723760551722	220719
CHI3L1	GLRX3	35.092094374544416	58086
DLG1	RIPK1	35.076419098130884	211767
MGAM	PPARG	35.04228649274262	329240
GRHPR	PEX3	35.020765458281545	46096
DCC	STEAP3	35.02027976875061	375165
POLRMT	PPCDC	35.003445903958664	89883
ACVR2B	EPHX2	34.98947154317864	38146
NUP50	TOP2A	34.94699400131299	274994
DUSP18	ZC3H12A	34.9286317456673	71120
ITGB4	UBB	34.92701908327257	72181
NCBP1	PDE1B	34.88228493320857	131899
CLCNKA	TRAF6	34.82406668647167	193766
HEBP2	KMT2B	34.78468369742697	134624
CDO1	F10	34.77601193215088	42270
ACSS1	DCUN1D3	34.770085542236814	64090
AOC1	NME1-NME2	34.76784538732562	59166
RGS7	TLR3	34.760362339601414	149608
AKR1D1	TRAF6	34.74598783951018	77154
ALDH1L1	MVK	34.72773850309203	125685
EIF4G1	KANK2	34.71660525246219	500205
DDX20	KMT2D	34.70714472438334	1966541
BCL2L2	MASP2	34.702400596392835	59481
ALDH1L1	MITD1	34.693351881739034	98931
EZH2	MAST1	34.687536900664725	259657
CYP1A2	NUDT18	34.682683336136876	103972
BRDT	PARP2	34.66809616718075	153010
ALDOC	STEAP3	34.65773849686292	100237
ABCB6	KIF16B	34.65690185245481	531467
DTX3L	FKBP2	34.65230792036908	46604
FABP3	FABP9	34.59292020319313	12103
EYA2	FLCN	34.54634523807738	97417
SPOP	ZBTB7A	34.514093832426084	43798
CRYBA4	KMT2C	34.49343478128324	529844
PDLIM7	RBCK1	34.46976134971979	128028
MGAM	MSRB1	34.43188447643689	97645
ARHGAP35	IMPDH2	34.42099569560352	304671
ATG4A	CDK2	34.38043506536292	37212
AIF1	F10	34.355225928177106	156534
PTPN13	SLC9A1	34.34924143312506	872996
FGD5	RECQL	34.32776963279241	372694
CLK3	NAT2	34.32102005557522	99372
CRYM	QSOX1	34.31195998958685	80099
PLCB2	TRIM24	34.29679782994404	502940
CDCA8	PARP12	34.274780140834366	14440
CYP2A13	PDE8A	34.26288016040124	210599
PNRC2	PTPN23	34.17977537209214	120445
ADAT2	PMS2	34.11544727752744	68050
NT5E	TNFSF15	34.10122295346514	50282
PRKCH	TPH1	34.09691699128287	100206
CYP1A1	UBR2	34.09050302901511	503394
BARD1	PARG	34.05521583927356	373012
ADSL	NOS3	34.02941454622194	214968
AURKB	ROCK2	34.02427538499447	143091
GGT1	KRT14	33.99805535321582	161049
EPHX2	MYBPC3	33.94140144645445	124153
DUSP9	PREX1	33.931567351133594	294408
CBLC	KANK2	33.918484144996484	121385
NAGS	NR0B2	33.91267674499028	72378
DLC1	SULT1C2	33.86149747035168	221684
KMT2A	PPWD1	33.78193677631836	776554
ADAP1	ARSB	33.74586071183751	95190
PANK3	ZHX1	33.731319655184194	134703
CHIA	NUP43	33.71597570393942	114197
THBS2	TRIM54	33.71453362306177	175166
DHX58	TRIM24	33.67657736386735	364376
SETD1B	SULT1C4	33.64227362537548	157080
BIRC7	PTPRZ1	33.612540076446976	359682
CNOT7	FABP5	33.57949547505444	11033
SULT1A1	ZFYVE16	33.53774630749575	187199
ACO1	CA7	33.49263583695972	102608
LRRC16A	WDR77	33.48837823025781	235300
HSPA9	PRKCB	33.48338056906664	110536
HK2	ZFYVE9	33.477817300833294	641573
IL20RA	ISG15	33.450216590107516	43222
BSG	NT5E	33.42897175292023	57304
BAZ2A	ZBTB48	33.403040001673844	607042
BCAR1	BOC	33.38189499809317	566118
AHCY	SLK	33.34889794726769	158270
EFNA1	SRM	33.315266051358265	17462
E2F1	MEPCE	33.31509912020243	97294
ACACA	SAT2	33.28731215077761	74716
BAZ2A	SCRIB	33.279219103990556	1295419
KIF3C	TRIM24	33.217559087408006	330384
ACOT4	HTRA1	33.19778682283305	79029
NCF1	PCTP	33.17228356659092	38102
DSP	NDOR1	33.1086489932909	1325061
RACGAP1	STS	33.10864294432412	178049
DDR2	NTRK1	33.048709384792716	206648
ACO1	ADAMTS4	33.03551879172366	329924
FTL	MVB12B	33.02515678714377	23888
KPNA1	PKD2L1	33.006238074799214	114764
CAMTA1	MMP10	32.988812092022044	463078
GTF2A1	PDGFRB	32.880226074622755	166168
CLIP1	ZBTB48	32.87350191053062	564588
CACNA1S	FDX1	32.84496042559368	93909
PPT2	SYTL4	32.83651774681442	509126
BMX	XPC	32.82649021942879	253636
EXOG	OBSL1	32.80880890983528	312516
RAB11FIP3	TNC	32.80488297588204	739341
MYBPC3	NUDT2	32.74944666822785	99606
RECQL5	RPA1	32.658919457420495	248443
DCAF6	TYK2	32.65842366995457	436638
HPN	RB1	32.65646808329198	143512
MTR	NFKBIA	32.646171496157336	160920
INPP5B	STARD5	32.5815705976961	59671
DUSP13	TOP2A	32.52162727204483	124992
ATL1	CACNA1S	32.493679886381386	298020
PIM2	SERPINB1	32.45976984069267	66297
CKMT2	GIPR	32.428234395795926	55890
CFTR	LRP8	32.417885284591875	685200
EZH2	MAPT	32.371006821373584	128767
FSHR	RET	32.344861508050315	298658
F10	PDLIM2	32.31830367033439	50190
ADK	C3	32.31134359014504	192300
DHX58	NUDT9	32.30288426371823	119574
EPHA8	NUDT18	32.25663528035028	170210
ASPA	SUV39H1	32.251739899393726	72382
CYP2E1	ERBB4	32.23995821847794	240648
ALDH1L1	HTRA1	32.21676422808976	105525
CCND3	GSS	32.15384591975675	69565
NEDD4L	PHF21A	32.14595538625538	145642
PVRL4	RPA2	32.14428251489649	12239
FGFR3	RAB21	32.135799171242894	27950
STAMBP	THBS1	32.112012485794764	186136
CLCNKA	SHARPIN	32.10801800400314	68544
CCNB1	EPAS1	32.08640588161967	178920
CA2	LIMK1	32.08550974803147	84958
CAPN9	STAT1	32.04138468446513	282520
EDC3	NRIP1	32.03812319930945	312872
CHMP4B	CYP11A1	32.01534782724883	45734
HTRA2	UGT2B7	31.992968785923495	103296
E2F1	HIRA	31.93126768670632	151666
AIP	LRRK2	31.90182305028239	475260
APOA4	FGFR3	31.890387490297712	153141
ARHGAP35	TKT	31.86289137898308	503055
GOT1	UGT2B7	31.844356052852163	119718
C1S	MAP3K2	31.831599445190705	154876
ADAP1	PLEKHM2	31.773989309480314	215370
ADAMTS4	SRP54	31.755203443443946	58142
ALK	GAS6	31.746460420886876	404024
CPSF6	IL1RAPL1	31.711852405886532	87212
COL10A1	MSRB1	31.70925399014368	42004
B3GAT2	VIM	31.704704558515232	58446
PAK6	RXRB	31.698377662101237	568368
ALOX12	CDKN1B	31.693858364363678	71990
ARFGEF2	HADH	31.682304231122714	142404
TLR2	UBQLN3	31.672852522582616	224258
ASPA	FOLR1	31.635560796594405	38098
DPP4	MALT1	31.60759158087984	232944
NF1	SSH2	31.605852056921265	955903
FTL	RAPH1	31.581032685391392	100304
KCNH2	MAD2L1	31.56059859109564	76076
NDST1	PTPRZ1	31.54706405188702	908236
NLRP3	PRPS1	31.47406143007332	39350
IFIT5	KDR	31.47109880211758	457113
IGF1R	SULT1C4	31.460537940318062	116335
GEM	ITK	31.449183917392503	85904
ARHGEF12	DUT	31.3707065440812	81349
EDC3	HK2	31.354935459085468	192611
ASH1L	CD2AP	31.34709297200277	953790
NCOA2	PRSS8	31.323405689379484	274482
BPTF	EGFR	31.287715771019236	1640906
CDC42BPB	CYP1A1	31.282971421301113	507954
GMIP	UCK1	31.272610165131596	83929
JAK3	LGR4	31.25796249340857	624151
NUMBL	PDLIM1	31.202585162158357	78214
SNUPN	XRCC6	31.180892232529914	113992
ACACB	CHEK2	31.12735539201418	265621
CLIC1	IDH2	31.124907906790526	426020
AOC3	PDLIM5	31.110502279135915	231040
PLXNB2	SMN2	31.110292862979776	266194
CAMK2B	KDM4C	31.09991288853294	220452
FKBP14	HVCN1	31.072671364140433	25996
DDX18	OSTF1	31.065811372855336	17409
CASP1	HAGH	31.011467486104095	29672
NVL	SLC9A1	30.966360337834573	207979
MTERFD1	RAP1GAP	30.95038461620011	109635
SOS1	VCP	30.941081545709807	130297
BRD2	CDKN3	30.88624671824364	403689
DUSP10	MYBPC3	30.8369926401096	262534
MAOB	STX6	30.809801112368348	49871
CFLAR	KDM8	30.801860731273848	79731
ADAR	MAD1L1	30.79810661215322	347266
MYBPC3	RAD51	30.784596006796363	80797
FCN1	SUN2	30.763545681030678	83495
DGCR8	GUCY1A3	30.758376825774235	181687
MTRR	SPAG9	30.751693489335025	458580
AADAT	RASGRP1	30.749321942330823	162845
TEK	TFRC	30.740832757281396	328250
GCGR	NMNAT1	30.734117376795155	61659
PRKCB	TRPV2	30.710738295224076	149567
CUTC	OBSL1	30.664193531165523	226962
NDOR1	RAB25	30.636196551518537	44533
PHF2	PPARG	30.615459138922716	190526
APLP1	SKI	30.57918042834821	178565
NT5E	OLA1	30.53651920800064	87846
DOCK1	DOT1L	30.535073249347903	1088385
HSPA1A	SHMT1	30.512509665326945	533945
HCN2	NRIP1	30.51044925629799	234406
ACSS1	ANTXR1	30.503005153869296	90493
LEPR	MIOX	30.487408473656785	204101
CRHR2	SMAD2	30.47382784060045	25086
CDC25C	PPIP5K2	30.464226547206295	81374
ANLN	RPA3	30.456599286282255	62391
CHP2	UTY	30.439310563741003	66740
SLC9A3R1	SPEN	30.42738912971815	619720
CDON	VRK1	30.418574107373956	255924
APEX1	BTK	30.409672467261956	83521
DDX5	NOD1	30.396890177987913	221957
NUTF2	SCRIB	30.387555636244656	75030
ENPEP	RABGEF1	30.381672975194533	222810
ITPA	SULT1A3	30.380554601427434	43264
GP1BA	HLTF	30.366770523651383	165329
EPHX2	SSH2	30.358486621143243	138996
GATM	NFKB2	30.350752053890574	135675
COL1A1	TCERG1	30.349114819598327	614850
PTPN1	TNRC6C	30.344064706718484	344574
CIB1	GABBR2	30.286923577127553	32280
DDX41	TENC1	30.280424987910735	190012
NCOA1	SIRT3	30.185293633533746	267823
CYP7A1	TLN1	30.16230089186672	533660
ACAT2	NME3	30.15513549684772	35515
FTO	ZBTB48	30.14208430567072	157794
CIAO1	MAT1A	30.106578065604054	45108
ACVR2A	ATAD2B	30.076044768897702	264987
AGXT	CLIP1	30.02949547860844	377214
CBX4	LIG4	30.021981701233273	218739
LONP1	TIRAP	29.989191031352675	66480
NAGA	PDLIM7	29.96945862959106	98250
CHD1	DUSP6	29.924725659008516	239440
MAPT	MYOM1	29.91619000719254	500281
CREBBP	KCNJ4	29.898814156489536	394340
DDX20	SETD2	29.88299022782863	1063073
OCLN	SNRPA1	29.86526598224782	34060
MCEE	NDOR1	29.83976192196127	68714
PGR	SMARCA4	29.82346543446596	171752
DDX10	ESR2	29.7956971283528	189968
KLHL40	KRT5	29.77146150051408	225914
DKK1	SNRNP200	29.760317245810484	110217
ARSB	ERCC3	29.756992238854963	107347
AHCY	RASEF	29.7252339325467	93060
DNMT3A	PCTP	29.71189238362814	85259
JUND	JUP	29.689693636756914	30632
IPO13	STK10	29.685770076980276	360136
RARB	VIM	29.66480244908604	57162
FKBP6	MYOM1	29.66351632305205	288239
C3	NUDT10	29.657674900044327	100716
RIN3	VDR	29.614065964786107	144032
DCLRE1A	MAPKAPK3	29.593119328651795	143978
LGALS8	SGTA	29.56662512655683	51070
KDM5A	NPC1L1	29.566624647320964	958938
DNM3	ZRANB1	29.542554828233705	127773
JMJD1C	THBS2	29.510544399049706	1399170
DOT1L	RET	29.50522956218498	806657
CDC27	RADIL	29.504014986891974	324681
ATG16L1	JAK2	29.503698764147487	242071
MAST1	RALGPS1	29.496584871836035	260454
ADSS	C3	29.48906494766669	215256
AKR1D1	SMG5	29.479978473371432	147990
AP1G1	GAS6	29.465104426676064	104008
PPIL3	USH1C	29.454476172782066	31325
MAOA	NFKB1	29.44157061569132	201544
HIST1H1E	PMS2	29.4385824156748	122378
AHCYL1	SPTAN1	29.363267278831053	107796
ANTXR1	POLR3C	29.329175222558177	81069
DPYSL2	STAU1	29.287428091288547	75380
CRYBA4	ECE1	29.282178534682245	72868
CASC3	PIK3R2	29.281383769536248	211764
ANLN	RRP9	29.27881268559281	256705
PKN1	TAF5	29.26399105062167	176495
ARHGAP32	LSS	29.24212396123687	690150
ASAP3	LGMN	29.23823916695399	183274
DHX9	TLN1	29.224667559698332	1020420
NR3C1	SEC23A	29.22345271170485	164888
CLOCK	POLK	29.210060704796888	372406
PNPO	VIPR2	29.199024678365717	31017
FGF19	PDXK	29.19766527578753	17531
CPS1	TNFRSF21	29.183675915137968	372673
GLUL	THRA	29.175146033602687	34404
OXSM	RAD1	29.13036805746634	58910
CKMT2	KPNA2	29.124292843901856	85365
HOGA1	NDST1	29.10351859761687	98966
NUP43	THYN1	29.084279474314826	43773
CYLD	PIM2	29.08019423861998	102167
GLOD4	PXN	29.077542164171007	65412
LARP4B	PTK2B	29.07496258005898	367152
FBXL5	HBA1	29.054726662809458	64526
NCAM2	NT5E	29.053055051762556	236650
NCOR2	SULT1C2	29.042185575883593	300943
MVD	NADK	29.034972186033258	83048
DAPK1	DCAF6	29.030176138925242	424491
HIP1R	MPST	29.025682935853	203238
DHRS1	MAOB	29.011560899681967	55519
CST7	PHYH	29.009288559511333	17490
CTDSP2	PC	28.98221086003801	141126
ARID3A	LGMN	28.974188468054024	91273
NEDD4	UAP1	28.946239627658883	169278
C1S	E2F2	28.94470072484637	123949
SERPINB1	SPHK1	28.925246181775947	108588
AQP4	SKI	28.92041983752776	122236
CAMK2D	CAPN13	28.905984865309108	16300
IL5RA	SCRIB	28.894013429164033	272978
HSPA1L	RAB27B	28.89243608445895	237615
ACADVL	PARP16	28.88684400600664	90806
HK3	RHPN2	28.86788938248364	378606
NR1I3	TBC1D22A	28.862880589750375	59927
DLG3	FTO	28.846963203275493	104279
MSL3	SACS	28.84160711012501	846459
CAPN9	UGDH	28.791891223443855	92064
GLS2	POLRMT	28.74116491721162	258268
FOLH1	PSAT1	28.70642861857229	110862
B3GAT1	PUS1	28.683741002564034	49962
PIK3CA	SULT1C2	28.678523539458013	65236
B3GAT3	MAPK7	28.672024805025544	97798
GALK1	HAO1	28.671452976650613	73144
KPNA2	RNLS	28.669493837369174	92157
CXXC1	NR0B2	28.66196022820037	65289
CENPE	MMAA	28.661810886627052	221937
IRAK4	MTRR	28.65975300513321	158012
DPP3	ZBTB7A	28.651969433530667	165996
MSRB1	NOS3	28.616392495784567	72202
AHI1	CHKA	28.613694132714386	151756
ALK	DDX58	28.59041792394575	521626
DHPS	TNC	28.58655837020433	442923
HADH	SDSL	28.557607442558606	47131
PARK2	UTRN	28.551740468945752	491708
HMBOX1	TLN1	28.54496530805143	299164
IGF1R	PHKG2	28.52868790992602	218874
CCNB1	COPG1	28.527564619749683	106638
ACE2	PARP16	28.50973623657643	146037
BBOX1	MERTK	28.504718300933916	130288
G3BP1	HSDL2	28.49968988991762	68926
ALOX12	PAPSS1	28.492251751522986	126169
HMBS	PLA2G16	28.479659191898463	21038
PRMT5	UBA3	28.464908315072464	76626
DPP7	GADD45G	28.46128120991517	34880
DYRK1A	TOP2A	28.46109987261957	213007
BDH2	EPHA2	28.45845807614745	101897
PDLIM7	TCF3	28.442158220606927	158892
CYP2A13	KAT2B	28.422658929263747	130369
DUSP6	SPDEF	28.418127755588756	62253
OXCT1	RNF43	28.412264602137157	146040
SDS	WDR61	28.39020880214116	32923
OXCT1	PIM2	28.36793589865178	47835
SPTBN1	USP4	28.36134895364313	739613
PDGFRB	PUM1	28.361038099053218	473541
CYP2B6	NCBP2	28.335734238153094	32862
APTX	IDUA	28.333503864335057	109927
APRT	ITGB4	28.27495453231714	169820
PCTP	PGR	28.26163268090818	34614
HGFAC	MCEE	28.258018483797628	41380
APAF1	RHOD	28.187773593703184	60747
ITGA4	KIF2C	28.17123650028597	284682
GEM	KRT14	28.167862620147503	79963
MERTK	RAB11FIP2	28.15367057634944	176320
NUDT5	SEMA7A	28.148079365982653	53795
HAT1	SCRIB	28.14216312983683	266363
MAPT	PTPRG	28.120724618081354	363677
DDX58	HSD17B14	28.111535463158674	59163
DLG1	WDTC1	28.10362273542188	166260
CUL3	KCNJ4	28.10171841642405	87261
CUTC	PHYHD1	28.082669985164898	33443
INADL	OTUB2	28.075311705438367	138217
FASN	SH3BP5	28.075014858502584	561996
FSCN1	LARP4B	28.06158777581703	220209
ACY1	PDK1	28.048228741876926	75745
CYP11A1	MPP7	28.04148807707412	131072
CCBL1	STK16	28.01510743246456	64541
CFH	IMPDH2	28.01344862296358	4973
ACP6	LARP4	28.009357741817553	128870
RBBP4	RYR3	28.000686995406568	316727
FDFT1	MASP2	27.97662184077771	167337
AK4	SERPINB3	27.964361948502983	51546
PITRM1	RIN3	27.935357252184332	436355
CHN1	HAO1	27.934673022150804	48724
CRYZ	LNX2	27.92613652672469	108387
NCK2	PLCB3	27.90231789768373	162762
NEK9	RRP9	27.89634527513708	194008
IFIT2	RAD23A	27.88902738766967	54086
MYOM1	PTPRN	27.87707469835621	696890
CASC3	RIPK1	27.86834745267231	186282
NDC80	PTPN3	27.832447482255475	283064
LONP1	PIWIL1	27.80401824262205	263282
BLVRB	RPA1	27.79364996607879	50997
ARFGEF2	DHRS11	27.772997737519376	144010
CHKB	USP8	27.769967596105857	139613
ARF5	TMEM173	27.7461767650976	29406
FAP	SETD2	27.735368783190353	1065275
MST4	NR2F2	27.734406217163205	40050
B4GALT1	ZHX1	27.70878035656193	143834
RNF31	TNFSF13B	27.69299681094882	59267
EIF4G1	SPTAN1	27.686193930827216	716700
BOC	RHOD	27.674054065664052	49203
PYGO1	SMN1	27.65814454854541	63320
CSAD	SNRNP200	27.626500467509175	320982
ACO1	PPARG	27.623768013592468	156080
B3GAT3	DHPS	27.58187919922372	60061
DAO	EDIL3	27.580257509326543	52570
ANXA2	PPOX	27.58015687197266	59277
DUSP9	PIM1	27.56475616122617	63900
