SUPT4H1 	HTATIP2
SUMO3 	TERF1
LGALS8 	SGTA
LCMT1 	NDNL2
KMT2C 	LAIR1
MTERFD2 	FCHO2
ALKBH2 	TAF11
PHPT1 	TAF1
CLOCK 	ITGB7
NUDC 	XRCC5
SCIN 	USP15
NAGA 	PDLIM7
NFE2L2 	NEK9
PLCB2 	TRIM24
TNFSF9 	TRIM54
SUMO2 	UPP2
AIF1 	PAIP2
PDLIM1 	MLYCD
RAF1 	ASL
RNASEH1 	PAH
ACOT4 	EIF4G3
PDIA4 	NFATC3
CENPA 	NME3
THBS2 	JMJD1C
DUSP16 	LYPLAL1
NDST1 	PTPRZ1
EIF4G2 	FANCE
SERPINE1 	DCLRE1C
KIF9 	WDR92
CRHR2 	SMAD2
F10 	PDLIM2
TAF5 	PKN1
NCK1 	CIB1
CKMT2 	GIPR
MAPK9 	HMBOX1
ADARB1 	RORA
PLEKHA4 	STARD13
TCERG1 	COL1A1
NET1 	UTRN
TBC1D22A 	NR1I3
ERRFI1 	AIF1L
TNFSF10 	ARF4
AIFM1 	UCK2
PDGFRB 	WDR77
MEN1 	MTMR2
OARD1 	SMN1
SLC3A2 	ASH1L
ADH4 	MMACHC
TATDN3 	SCOC
SOCS6 	FKBP6
SPRY2 	ABI2
CCNDBP1 	ENO3
GUCY1A3 	DGCR8
HMGCR 	NGLY1
SERPINI1 	DUSP4
TPRKB 	PPIF
PGLYRP4 	NDRG2
EDC3 	FKBP1A
RRM2 	TNFRSF6B
ILK 	ACSM2A
MPP7 	KARS
GIPR 	CKS2
EBF3 	GRHPR
CLEC5A 	TAB2
PDE9A 	LIMK1
SMG5 	AKR1D1
SULT1A3 	HINT1
GALNT2 	CHMP4B
TH 	FUS
TCEB2 	DBF4
DUSP4 	PABPC3
HBA2 	TRMT10A
BMI1 	NUDT3
PVR 	DDI1
UBR5 	DPP4
KLHL7 	MAPK6
ADAT2 	SNX1
STAMBP 	TNFSF14
ERBB2IP 	GMFG
SYTL2 	PVRL1
ALAD 	NUP98
UBE2S 	STARD5
MRI1 	LSS
CD44 	RARA
MAST1 	PDIA4
DAPK1 	RHOU
TCEB2 	RRAGC
DYNLRB1 	ARFGEF1
UBA2 	DYRK1A
PARN 	VRK2
VRK2 	MAPK3
PKP1 	MAD2L1BP
KAT2A 	ACP6
HMBS 	MAGEA4
BTRC 	NFE2L2
CD209 	SLAIN2
MTR 	NFKBIA
PRMT5 	TNFRSF1B
IGF2BP1 	RAB9B
PLA2G16 	SNRPD3
ACSS1 	ERI3
OAS1 	NXF1
MB21D1 	BCAP31
PIR 	FAIM
CRHR2 	RRM1
NPC1L1 	SNTB2
SIRT2 	PDZD3
RGN 	NUDT6
S100P 	APOBEC3F
JAK1 	ETFA
PKD2L1 	VPS25
ARHGAP9 	RNGTT
GMFG 	AKR1C1
DDI1 	NUMBL
RRAGC 	RGS2
DIMT1 	CHI3L2
PSAT1 	ALAD
GIMAP4 	ATG16L1
MAD2L1 	CAPN1
PPIL3 	USH1C
CDC42BPB 	CYP1A1
FGFR2 	PPIP5K2
HIST1H1E 	PMS2
ANXA5 	CLIC4
SNAP25 	TAB1
IST1 	ID2
UBE2U 	SPINT1
AK1 	CCNK
AP4M1 	CYP2C8
TNKS 	GRB14
ACADSB 	CD180
ST6GAL1 	GIMAP1
SIRT3 	ECE2
DTD1 	SMURF2
MPG 	SETD1A
TXN 	DHH
TLN1 	HMBOX1
ITCH 	EIF4A3
MYBPC3 	DUSP10
CAPN9 	STAT1
TRAF4 	SMG6
NEDD4 	JMJD6
FKBP4 	FGFR1OP
PCBP1 	SHMT1
CD40LG 	MMP14
TNFAIP6 	AQP5
RIPK1 	CASC3
MTA1 	CDKN2D
APOBEC3G 	MAN1B1
GSTZ1 	DAPK3
SEPT2 	RAB5B
TENC1 	DDX41
NUP214 	KMT2A
SPON1 	OCLN
RANBP3 	F2RL3
ERCC3 	ME2
CPOX 	GAS6
TES 	EPHA3
HMOX1 	RBM8A
USB1 	PKLR
SF3B14 	BRCA2
HSPA8 	LCK
MYH9 	DHH
PTPRN2 	TYMP
MALT1 	CTDSP2
IL20RB 	BMI1
BACH2 	PARP12
SMN2 	CD180
MUM1 	ARG2
GIMAP4 	RAC3
STK24 	DUSP15
NME3 	ACAT2
UCHL3 	PARP12
CDY1B 	PHYHD1
MAPKAP1 	CSNK1D
HMBOX1 	CST7
PPT2 	BTRC
PARN 	S100A13
USP4 	BRAF
PIP4K2B 	PPP2CA
DUSP22 	RUVBL2
H2AFY2 	SEPT3
BTBD2 	SGOL1
AIF1 	F10
PTGES3 	CUTC
PDE4C 	SNRPE
COPG1 	PRDM9
TBX3 	AMFR
AIF1L 	DUSP9
GMIP 	UCK1
ADAP1 	ARSB
PYCR1 	RILP
APEX1 	VPS33A
RAB18 	CDC7
MTHFS 	CSTA
TNRC6C 	MAPK12
CACNA1C 	ATAD2B
SNRPF 	ORC6
PAK4 	TP53I3
LIMK1 	IDUA
SYNJ2BP 	POLR3C
UBE2I 	PLXNC1
PANK1 	ZFYVE20
PARP12 	UCHL5
FTL 	MVB12B
PCID2 	PTPN13
NAMPT 	KEAP1
PGR 	SMARCA4
ECT2 	VIL1
PAK1 	CENPB
NLRP4 	UBE2U
SUPT5H 	AKT1
PHF2 	B4GALT1
STARD5 	INPP5B
PLCB3 	NCK2
BROX 	ARTN
EPHA7 	SENP7
PALB2 	DPP4
MAPRE3 	GFER
ZFYVE16 	CYP11B2
IFIT5 	FBXL3
GINS2 	ATXN2
TKT 	ARHGAP35
CHMP4B 	CYP11A1
KCNQ1 	DIRAS2
STARD3 	CNTF
ADAM22 	GSTM2
DGUOK 	ARHGDIA
NFKBIA 	ADAMTS5
TREX2 	PLAA
IL13RA1 	TK1
CYLD 	PIM2
GSTA1 	NFATC2IP
PEBP1 	EBF3
APOM 	PVRL2
BCOR 	SYNE1
PPME1 	GHRHR
GORASP2 	NMNAT1
SIRT3 	FOXP2
PKP1 	SULT2A1
PARP12 	CDCA8
EIF3K 	PARVB
CLIP1 	AGXT
MUM1 	PIN1
UBQLN3 	YARS
AKR1C2 	ARF4
SNRPA 	HRSP12
GSTM2 	PDLIM7
PEX3 	GRHPR
ARF6 	ELMO1
FOXP2 	NUP133
TIMM44 	TCEB1
BAG5 	NOTCH2
NCOR2 	FMN2
TRADD 	SYNJ2BP
TREM1 	PKP1
USH1G 	SIRT3
OSTF1 	DHRS1
MAPKAPK2 	QPCTL
SAT1 	STK16
PAH 	TPX2
HIF1AN 	PHF1
EPHB4 	BPIFA1
KIT 	YY1
ITGB2 	INPP5B
EXOG 	EXOG
VAPB 	RHCG
TIGIT 	DUSP19
ACBD7 	FAM105B
LONP1 	PIWIL1
RADIL 	TREM1
NEU2 	TAF1L
KDM7A 	PNMT
TWF2 	TAF11
APBB1IP 	HOXB1
TCF3 	LGR4
EPHA2 	SPSB2
PDLIM2 	ILK
SPSB4 	HPGD
GIPR 	INPP5E
MTA1 	GPX8
TJP1 	PSIP1
NT5M 	RPA1
ACTN1 	PIR
CDON 	VRK1
SYTL2 	RAD52
NUDT3 	GRM1
DHRS11 	ARG2
XPO5 	NCR3
AHCYL2 	GPX5
PGAM1 	PRMT5
CFTR 	LRP8
CSNK1G1 	RASGRP1
THYN1 	GPX2
FOS 	GINS1
CDK5 	ACSM2A
NCOR1 	MARK1
ETS1 	PPP2R2A
DDX25 	CSK
CASP1 	NT5C2
SULT1A2 	HRAS
BMI1 	CUL5
EIF4G2 	TRADD
PTPN14 	CTSK
PABPC3 	VCP
SERPINB1 	LCMT1
TEN1 	PTPRB
KRT14 	GEM
AGFG1 	PPIA
MBNL1 	ATG5
CCNA2 	LTC4S
LNX1 	SLC9A3R1
VCP 	SPIN1
PPARGC1A 	NOD1
GINS4 	TUBGCP4
CBLB 	PPME1
NANP 	SLAMF1
SNAP25 	POR
DCXR 	PCYT2
KLRK1 	PLXNB1
TIA1 	WDR5
RAB1B 	ATIC
CHKB 	PTPN4
ALDH5A1 	PPP5C
CRAT 	SNUPN
LRRC16A 	DCTN6
WWP1 	RHOC
ARTN 	DKK1
NT5M 	KLRK1
THYN1 	TSTA3
SULT1C3 	KDM7A
ELMO1 	FCN1
CDK9 	GRM1
ECI2 	RABGAP1L
PDIA6 	DDX3X
SH3BP5 	FASN
RGS6 	MAPK6
SDSL 	HADH
NCOR1 	IL20RA
EDIL3 	DAO
SMAD3 	ZAP70
GEMIN7 	PAICS
VEGFC 	SPRY2
TXNDC5 	DUT
CDC27 	TNIK
BTK 	TOM1
PVRL4 	RPA2
HAAO 	ASPA
PSMF1 	PLK3
HDDC2 	LACTB2
THEM5 	PDE4C
PARVB 	SRP54
BRK1 	FDPS
HLTF 	GP1BA
CLCN5 	RGN
PSIP1 	NRIP1
ACSS1 	PTGDS
RTN4IP1 	S100A16
CSNK1G3 	TBC1D7
STK11 	MTMR6
TPRKB 	POT1
SEC23A 	NR3C1
TNK2 	HMBOX1
FKBP1A 	GINS4
S100A2 	NCOA5
SYMPK 	APOA4
FOLR2 	ADAR
SENP8 	CSNK2A2
PIWIL2 	FBLIM1
NCS1 	TLR2
DDX25 	ARHGEF1
MAPK8 	RNPC3
CSF2RB 	HMOX1
EPHX2 	MYBPC3
BRCA1 	KPNA1
PATL1 	VCL
LGR5 	ITGA4
BRMS1 	GCA
SLIT2 	ARL6
SUPT5H 	UCHL3
BAZ2A 	SCRIB
ANPEP 	PARP10
DUSP23 	STK25
GPHN 	TNFRSF21
SH2D1A 	MAP3K5
HINT1 	TRAPPC6B
CLEC9A 	RAB1B
KMT2A 	TRAF4
MTAP 	CTNNB1
NCBP2 	MAPK1
PDE4A 	GGCT
NTRK1 	RGS16
ACOT11 	GEMIN6
KCTD5 	CAPN1
LCMT1 	ARG2
CHKA 	LIMK1
KDR 	SRP54
PLEKHA3 	NAIP
CDC7 	RAB35
MAPK6 	TERF2IP
PARG 	PPP1R13L
TOPBP1 	ITK
FTL 	TGS1
KRAS 	CHIA
HTRA2 	UGT2B7
DDC 	USF1
OTUB1 	IGBP1
GLIPR2 	TTC5
MARK2 	CHN1
MAPK7 	AIFM1
TCF3 	SPDEF
PRDX2 	SCMH1
BTF3 	SOCS2
EIF2AK2 	FLCN
NVL 	LONP1
TIMM44 	FOXO1
DUSP26 	DOT1L
CCNC 	RMI2
APOBEC3F 	USP2
CHP2 	UTY
SUFU 	CD180
HPGD 	MEMO1
TOP1 	LCMT1
PANK3 	FGFR1OP
NAGA 	JUN
POLB 	PDIA4
TRAPPC4 	THBS2
BIRC7 	PTPN18
USP7 	LGALS2
SPRED1 	WARS
RPA2 	RALGDS
FGF12 	PDCD10
VRK1 	ALKBH2
TNFAIP6 	EIF4A2
CYP2A13 	PLS3
DIMT1 	SMURF2
PIK3R2 	CASC3
RAE1 	ENOPH1
SH3BP5 	UAP1
BIRC7 	DYRK1A
SIRT1 	ARF5
PTGIS 	RHEBL1
STK10 	ZHX2
AKT2 	MAP3K10
PABPC1 	PLA2G16
ACADSB 	AP1G1
LIMS1 	ESRRG
UROD 	KIF22
AHCYL1 	CCNT2
DDX3X 	PLEKHA3
HSPB1 	RAPH1
PTGES 	FBN1
FEN1 	MSRB1
PITRM1 	WIF1
ANXA2 	PPOX
PRKCB 	HSPA9
RAD9A 	PUS10
ACAP1 	PAK6
CHD1 	DUSP6
PPP2R3B 	PIAS2
RGS7 	PAIP1
RBBP9 	PRPF19
CPSF7 	BLMH
EXO1 	HIP1
RAB6A 	DNMT3A
FCER2 	GPC1
NPM2 	UEVLD
NLRX1 	DLG2
UPF3B 	STX6
CTNNB1 	KIF1C
NT5M 	SACS
WIF1 	BTBD2
KRT14 	GGT1
RAB35 	TRADD
TIGIT 	CYP19A1
APOBEC3C 	PDE8A
LARP4B 	PTK2B
RNASEL 	HPN
WDR92 	DDI1
IDUA 	SCML2
CYP1A1 	UBR2
EFNA2 	TTPA
TXNL1 	LRRK2
PARP12 	MCEE
HDDC2 	HS3ST5
RND3 	RAB2A
BTLA 	MAT2B
ALKBH3 	TPRKB
ETV1 	STAT6
DDX5 	CYP19A1
ARHGAP9 	USP4
PUS1 	PMM1
SATB1 	USP15
MMP2 	MAGI1
NSMCE1 	PITPNA
NRAS 	NUDT16
CCDC8 	MMP2
OTUD5 	SF3B1
SNRPA1 	COTL1
TCL1A 	PNLIPRP1
FYN 	UCHL3
RGS7 	CHMP4C
PLEKHA1 	EPHA5
MEIS2 	PEX19
PPIP5K2 	CDC25C
RARB 	CRYL1
HPGDS 	CDK5
DOT1L 	RET
PHF8 	ELMO1
GRB7 	TNFSF13B
CDKN2D 	CYP7A1
ACVR1 	SYN3
CASP7 	MX1
IKBKG 	PRMT6
FGFR3 	RAB21
UBE2U 	RCVRN
TCERG1 	CD5
GBE1 	SPAG9
TBP 	IGF2BP1
EPHB3 	DCAF12
LSS 	ARHGAP32
CHEK1 	CAT
PGD 	HINT2
DPF2 	RUVBL2
GMPS 	PPP2R5C
COPG1 	CCNB1
AKR1C3 	PLAA
XRCC6 	MAPRE3
TDG 	SRSF1
THRA 	GIMAP1
KRIT1 	AGFG1
PTPN9 	SGOL1
HK1 	ADAM17
MTHFD1 	INSC
TBX3 	DDX3X
IRF3 	FGFR1
GPI 	PPARGC1A
BRPF3 	XPC
CCNDBP1 	GTF2B
PDE8A 	CYP2A13
MYLK4 	SMS
PTP4A1 	EIF4E2
CES1 	NUP50
OSTF1 	HDAC4
RAD18 	PMP2
MTA1 	XPO5
EYA2 	SEPHS1
TSTA3 	PTPN23
HGS 	VDR
CAPN9 	UGT2B7
FGFR1 	RGS16
CYP2C19 	L3MBTL1
ACMSD 	G3BP1
SLK 	CHKB
DAPP1 	CDC25C
PRSS8 	PAX5
KARS 	UBE2U
GALM 	ESRRG
IMPA2 	PTPRG
PARG 	BARD1
MTERFD1 	CD207
MDM4 	CYGB
MTAP 	SLC9A3R1
RECQL5 	RPA1
HLTF 	CD2
SUMO3 	S100A2
IL34 	GLIPR2
TXNDC12 	TOP1
DHRS1 	BCL2L2
HDHD1 	DPP7
GSTK1 	MYH7
GEMIN2 	GOLGA4
RANBP3 	CCS
KRT5 	KLHL40
COTL1 	PAK1
TDRD3 	HPGDS
LNX1 	FABP3
GLYR1 	PDE4A
SULT1E1 	NDC80
DHRS1 	MAOB
MAD2L1 	KCNH2
ACADSB 	KLC1
FES 	GNPDA1
HMGCL 	SDS
GPD1L 	KCNH2
ERN1 	TFDP1
APOBEC2 	TERF1
ACTN2 	NR1D2
PARVB 	ESD
SPG7 	GGA1
MUTYH 	RMI2
SPAST 	ATRX
PTPRM 	BLVRB
TRIM24 	DHX58
ARHGEF1 	KIF9
RPS6KB1 	POLR2G
KIF1A 	PPIA
ALK 	DDX58
TBX1 	DDI1
TPH1 	HSP90AB1
GEM 	RASA1
EFNA1 	SRM
IL5 	CSNK2A1
PHF2 	HVCN1
MAD1L1 	GSTT2B
EBF1 	KCNQ1
POLB 	POLR3C
DCLRE1A 	PPIC
ACOT13 	CHI3L1
MYO10 	SRSF1
SMAD4 	GNAI3
RET 	FSHR
CLIC1 	VPS25
SYTL2 	LASP1
TOP2A 	KIF13B
RAD23A 	IFIT2
ESRRA 	SACS
GNPDA1 	PPT2
POLR2G 	GSTA2
IMPDH2 	GOSR2
USP15 	NR2C2
FGF23 	KCNH2
CYLD 	DHRS11
MAFA 	AKR1B10
SRPR 	NCAM2
MELK 	TBC1D22B
PABPC3 	DCPS
HMGCS1 	XDH
DCTD 	HPGDS
GUCY1A3 	UBE2K
FOLH1 	PSAT1
HARS 	MSH6
PGAM5 	REM2
EIF4EBP2 	TYW5
SNX9 	OTUB1
KDM5A 	POFUT2
ZHX1 	CCM2
BAK1 	MTHFD1
MAD1L1 	HSD17B10
CLIC4 	DDX52
USP37 	NUMBL
FASN 	DCLRE1C
UBE2K 	PAH
NDEL1 	LRRC16A
GSTZ1 	DVL2
FGF19 	KDM4E
CASP8 	KAT8
SNF8 	MKNK1
AHSP 	SREBF1
WDTC1 	SOX9
ACADVL 	BRWD1
PBX1 	SLAIN2
NVL 	SLC9A1
SREBF2 	SH3BP5
TRIM72 	FBLIM1
RNF2 	SYTL4
MASP1 	RAD52
ACTL7A 	ITGB1BP1
CUL1 	STYX
PC 	CTDSP2
GSG2 	NUP107
PPIE 	FES
TRAPPC3 	TATDN1
SPON1 	SULT1E1
FRAT1 	PTS
ARL5B 	CHMP4B
RAP1A 	ARL2
DCUN1D1 	FOS
FGF9 	HIST1H1E
SENP2 	FOLR2
STRADA 	ERI3
ITGB4 	UBB
USH1C 	EXO1
PWWP2B 	ANGPT2
KIF3B 	ADAP1
EIF4G3 	FBXL3
ARG2 	RANBP3
PGAM5 	SCOC
ERI3 	ALK
SIRT3 	NCOA1
SEPT3 	NAIP
THBS2 	TRIM54
CBFB 	DVL2
DCTN1 	NPC1L1
PHF20 	BIRC3
ARF5 	WEE1
STX10 	TCEA1
NFYC 	RHOB
PABPC3 	SNRNP200
ID2 	AHSP
DNM3 	ALOX12
PDIA4 	GFPT1
PAK6 	RXRB
CD44 	NT5C
HPGD 	XPC
FERMT2 	RBBP4
DCLRE1A 	TNFSF13B
PARP14 	PRKCA
LMNB1 	ALOX12
PRKCH 	LRRK2
SULT1C4 	SETD1B
NF1 	SSH2
FOLR2 	TASP1
DPYSL5 	NUP35
CLINT1 	PAH
TBC1D1 	RAB5A
RRAGC 	MUTYH
AMPH 	IST1
PARP2 	BRDT
PRKCH 	AK2
MPDZ 	UHRF2
NAGS 	NHP2L1
GLYR1 	RASA1
TPRKB 	IDE
PSMD10 	MAST3
ACE2 	ZNF217
ETS1 	SYNJ2BP
DNMT3L 	THEM5
RAMP1 	MACROD1
ACAT1 	EFNA1
PEX19 	SNX33
USP2 	ORC6
CLEC4M 	NR1H3
CLEC9A 	GSG2
APOA4 	FGFR3
PSMC4 	DPYSL3
LIG4 	NR1D2
DUPD1 	LNX2
KDM5A 	SPAST
ATG16L1 	OTUD5
SDS 	RNASET2
KDM4E 	HSP90AA1
KIF23 	PLEC
RLBP1 	RAD52
ERH 	XRCC4
RRM1 	GEMIN6
DDX10 	PCGF1
RAD23A 	TASP1
CKS2 	FAM96A
BCL2L2 	PICK1
DIRAS1 	HDHD3
MTERF 	KDR
PHF21A 	PDXP
FGF19 	PDXK
GINS4 	NKX2-5
UFC1 	SRPK2
TCERG1 	RAD18
EIF4G1 	LAIR1
KLHL7 	CDK5
MINA 	CALM3
RPS6KA3 	ELAC1
INPP5E 	TIA1
DUSP26 	DYRK2
PPP2R5C 	DDR2
IL22 	DECR1
SIRT5 	DDB2
KHDRBS1 	DGUOK
NOG 	MYH7
E2F2 	CBR3
DCX 	PTPRM
SDS 	DNAJC3
GPX3 	CLK3
SDR39U1 	SULT2A1
STAT6 	PPM1K
PTPRN 	MDM4
SLC4A1 	TUB
IQGAP3 	KMT2D
SF3B1 	RXRA
MCIDAS 	SMAP2
NDC80 	AK1
EIF2B5 	CAMTA1
RAB18 	HGF
PRKAR1B 	METAP2
PKP2 	CHKA
CDY1B 	NAA50
CCNT2 	AMFR
TBC1D20 	SERPINE1
SARS 	PTPN4
C9orf89 	MAFA
ISG20 	VIL1
BRCA1 	APOBEC2
PLCB2 	HJURP
HGF 	RARG
NCOA1 	TREML1
PEA15 	KMT2D
GTF2A1 	PYGO1
HAAO 	SCML2
RIN3 	PITRM1
NLRP4 	STAMBP
PVRL2 	SNX33
MTHFS 	GTF2B
STX10 	NR3C1
DDR2 	PNPO
KIFC1 	CCNK
NDNL2 	PRMT6
KMT2C 	CRYBA4
RAB27B 	TEK
OBSL1 	DAPK3
TRAF4 	ABL2
MUT 	PTPRJ
LRP6 	TCF12
NSUN5 	CISD1
GNAI3 	NEK9
CDO1 	GSK3B
CRYM 	QSOX1
TOP1 	SMG6
RRP9 	NEK9
UBAP1 	RAB6A
SUN2 	FCN1
DCTN6 	SRPK2
FGFR3 	MMAA
CLIC4 	USP5
AIFM1 	BCORL1
NOTCH2 	AKR1C4
CSF1R 	PLXND1
SOS1 	SLBP
CSNK1G3 	ANXA5
SULT2A1 	SCN5A
FOLH1 	PRDM9
ITPA 	SULT1A3
PTPN2 	GABBR2
ELMO1 	DDR1
MUTYH 	TREML1
GALNS 	NR2C2
TOM1L1 	CAPN7
GPT2 	IL22
CA13 	CIB1
GRB2 	KDM8
AGO2 	RIN3
SLC9A1 	PTPN13
SSU72 	PLK1
IFIT1 	ASS1
PPIF 	KRT5
ESD 	OS9
CHIA 	RAP1A
EGLN1 	NCOR2
GPX2 	NEK1
E2F1 	ADORA2A
NUDT10 	C3
EZR 	HUWE1
HAO1 	GALK1
TCF3 	PDLIM7
PRNP 	NISCH
NUDT18 	EPHA8
SLAIN2 	CSF1R
NSUN5 	ADAR
KAT2B 	HNMT
BCAR1 	BOC
UGDH 	KDM7A
FYN 	SNRPF
SOX17 	SPON1
CTNNBIP1 	ESRRA
KLHL7 	FGF1
ADAMTS4 	SRP54
LIMS1 	TTC5
KCNJ4 	DPY30
SNX14 	ACAP1
RBM11 	DDX5
PPP5C 	CYP3A4
PARP10 	PGLYRP4
GOLPH3 	NT5C
FABP4 	DSP
PGLYRP4 	ARHGEF11
PHF21A 	HNRNPA1
FABP4 	CASP2
LGR4 	TCEA1
STK16 	NF1
RASL12 	DOCK1
TBC1D20 	SDS
BCAR1 	TBCA
LARP4B 	NUDT3
HYAL1 	FGF20
PLXNB1 	UBA2
CAPN1 	MAPRE1
TRIM37 	B3GAT3
B4GALT1 	GSTM2
RB1 	HPN
ACAT1 	TXNL4B
BDH2 	EPHA2
KIF16B 	ABCB6
EYA2 	SULT1C2
KMT2A 	PCNA
EIF2B1 	SUPV3L1
ARHGAP32 	ATF2
DDX58 	UBE2I
CTNNBL1 	EEF1E1
KARS 	VEGFC
TNFSF13B 	RNF31
KCNQ1 	ATG12
CSK 	USH1G
ANLN 	MKNK2
NRIP1 	EDC3
SNCA 	OXSM
KLRG1 	NF2
RPSA 	WDTC1
PTGIS 	SPIN1
CBX4 	TNFRSF10B
NCS1 	CTNNBIP1
NDC80 	PTPN3
EPHB3 	RNF128
TREX2 	STAT6
KLC1 	MAFA
THBS1 	STAMBP
NT5M 	GIPC2
PCGF1 	MAP1LC3C
ZBTB7A 	DPP3
MCPH1 	TCEB1
EPHB3 	NOG
MAP3K2 	C1S
GMEB1 	RASEF
HSDL2 	INCENP
DCK 	ATG16L1
CAMK1 	RGS6
PPIF 	TTK
KIF18A 	APOBEC3F
OBSL1 	EXOG
PRSS8 	NCOA2
UBE2J2 	SNRPD3
PAPSS1 	SUMO3
HSPA1L 	ROCK2
IDUA 	LY86
ZBP1 	FGF8
CDYL2 	ASRGL1
PRPS1 	NLRP3
LARP4B 	DDX19B
RPA2 	KIF1A
CDC34 	SF1
AKR1D1 	DKK1
SIRT5 	HBP1
HDHD3 	PDE6D
CUTC 	OBSL1
PNP 	CYP1A2
TNRC6C 	UCHL3
MEIS2 	HDC
GBP1 	TREML1
